id;nom;dirigeant;adresse;telephone;fax;email;horaire_travail
1;mobile Fish;Home Loan Account Table Computer;Trace;1-617-600-9789;Electronics;Christelle61@hotmail.com;Grocery Home
2;Investment Account Steel;Coordinator;Common;613.595.4086 x6140;Factors;Kelton.Schowalter@hotmail.com;Intelligent
3;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;551-098-7493;Communications capacitor archive;Cleve96@yahoo.com;navigating
4;interactive generating compelling;Home Loan Account;Plastic;100-947-3120 x08177;1080p Checking Account Identity;Betty_Volkman62@yahoo.com;archive Fantastic Plastic Chicken
5;payment;withdrawal COM;embrace Developer;775-272-4057 x41041;Outdoors;Jarrell_Haley@yahoo.com;Corporate Phased relationships
6;white Brand Money Market Account;Salad Web virtual;Refined Squares;148-853-8183;Direct;Danny.OConnell@gmail.com;cutting-edge ability Hat
7;supply-chains magenta;encompassing;Directives;1-255-743-0929;Quality-focused;Merritt28@yahoo.com;Computers Personal Loan Account Berkshire
8;Home;Investor Public-key;Lebanon;952-560-7322 x783;invoice withdrawal;Raymundo_Borer15@yahoo.com;Bedfordshire
9;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;(335) 981-6371 x2958;Enhanced deposit parsing;Jose24@yahoo.com;Tasty Customer Human
10;pink even-keeled;bus Internal AI;THX bypassing Marketing;866.503.1969 x0213;Buckinghamshire Ports;Dana.Dare23@hotmail.com;circuit navigate
